time,open,high,low,close,Plot
1765207800,25700.25,25723.75,25683.5,25687.5,NaN
1765208700,25687.25,25702.75,25649.75,25663,NaN
1765209600,25662.75,25666,25627.5,25638,NaN
1765210500,25637.25,25671.5,25626.25,25662,NaN
1765211400,25661.75,25670.25,25636.5,25652,NaN
1765212300,25652,25656,25631,25639.5,NaN
1765213200,25640.25,25647,25602,25624,NaN
1765214100,25623.5,25638.25,25593.75,25617,NaN
1765215000,25617.5,25640.5,25614,25622.5,NaN
1765215900,25622.5,25690,25612,25680.5,NaN
1765216800,25680.25,25696.25,25657,25677,NaN
1765217700,25677,25688,25628.25,25629.75,NaN
1765218600,25629.25,25641.75,25602.25,25627.25,NaN
1765219500,25627,25634.5,25564.75,25592.5,NaN
1765220400,25592.75,25597,25568,25579.5,NaN
1765221300,25580.5,25610,25579.5,25598.25,NaN
1765222200,25598,25620,25594,25605.5,NaN
1765223100,25606,25622.25,25585.75,25591.75,NaN
1765224000,25592.25,25603,25582.5,25602.75,NaN
1765224900,25603.25,25617.25,25594.25,25615.5,NaN
1765225800,25615.5,25617.25,25590,25613.75,NaN
1765226700,25613.5,25672.25,25602,25668.75,NaN
1765227600,25668.25,25674.75,25656.25,25661,NaN
1765228500,25661,25685.25,25656.5,25682.5,NaN
1765229400,25682.25,25703.5,25675.25,25702,NaN
1765230300,25701.75,25707.5,25689,25706.75,NaN
1765234800,25713,25724.75,25698,25700.5,NaN
1765235700,25701.25,25705.5,25695,25698.25,NaN
1765236600,25698.5,25708,25692,25704,NaN
1765237500,25704,25728.5,25702.25,25726.25,NaN
1765238400,25727.25,25727.25,25716,25720,NaN
1765239300,25719.5,25723.75,25713.25,25716.5,NaN
1765240200,25717.5,25721,25712.25,25717,NaN
1765241100,25717.25,25725.75,25711.5,25719.25,NaN
1765242000,25720,25725.75,25703,25725,NaN
1765242900,25724.25,25729.5,25705,25705,NaN
1765243800,25706,25714,25684,25693.5,NaN
1765244700,25694,25700,25690.5,25693.5,NaN
1765245600,25693.25,25698.5,25675.25,25692.25,NaN
1765246500,25692.75,25708.5,25691.75,25697.25,NaN
1765247400,25698,25699,25684.5,25691.75,NaN
1765248300,25691.75,25697.5,25687.5,25692.75,NaN
1765249200,25692.25,25699.5,25685.25,25694,NaN
1765250100,25693.25,25699.25,25689.5,25693.25,NaN
1765251000,25694.5,25700.75,25689.25,25695.5,NaN
1765251900,25694.25,25702.25,25685.5,25698,NaN
1765252800,25698.75,25699.75,25692,25692.25,NaN
1765253700,25692.25,25697,25689,25693,NaN
1765254600,25692.25,25695,25682.75,25691,NaN
1765255500,25692,25692.5,25686.25,25686.5,NaN
1765256400,25688,25689.25,25670.5,25675.75,NaN
1765257300,25675.25,25678.25,25665.75,25668,NaN
1765258200,25667,25677.75,25664.5,25674.75,NaN
1765259100,25674.25,25679.25,25662,25663.5,NaN
1765260000,25664,25664,25647.5,25656.5,NaN
1765260900,25655.75,25661,25646.75,25656,NaN
1765261800,25656.25,25681.75,25654,25680.5,NaN
1765262700,25681,25688.25,25670.75,25683.25,NaN
1765263600,25683,25695,25681.5,25687.75,NaN
1765264500,25686.75,25690.75,25680.25,25687.25,NaN
1765265400,25687.25,25692.25,25676.25,25686.75,NaN
1765266300,25686.75,25697,25686.5,25691.25,NaN
1765267200,25690.5,25706.25,25686.75,25700,NaN
1765268100,25702,25712.5,25691.75,25694.25,NaN
1765269000,25693.5,25699.75,25682.25,25694,NaN
1765269900,25692.5,25705.5,25691.75,25695.75,NaN
1765270800,25695.5,25696,25672.75,25680.25,NaN
1765271700,25680.75,25682.75,25660,25666.75,NaN
1765272600,25666.25,25675.5,25650,25657.25,NaN
1765273500,25657,25667.25,25653.25,25656.25,NaN
1765274400,25655.5,25675.75,25654.75,25670.75,NaN
1765275300,25671.5,25692.5,25667.5,25688.25,NaN
1765276200,25689,25692,25601,25656.25,NaN
1765277100,25656.5,25675.5,25637,25668.75,NaN
1765278000,25668.5,25671,25637.75,25645.25,NaN
1765278900,25645.75,25668.75,25630.75,25667.25,NaN
1765279800,25668,25681.75,25658.5,25676,NaN
1765280700,25676,25680,25668.5,25672.5,NaN
1765281600,25672.75,25676.25,25660,25666.5,NaN
1765282500,25667,25669.25,25658,25663.25,NaN
1765283400,25663.25,25667,25649.75,25654,NaN
1765284300,25653.5,25672.5,25645.5,25663.75,NaN
1765285200,25663.5,25666,25648.75,25656,NaN
1765286100,25656,25658.5,25637.5,25650,NaN
1765287000,25649,25651.5,25607,25625.25,NaN
1765287900,25624.75,25639.25,25608.5,25617,NaN
1765288800,25616.5,25625.5,25597.75,25605.25,NaN
1765289700,25605.75,25620.25,25588.5,25618,NaN
1765290600,25618.5,25653.5,25560,25612.25,NaN
